x,y,z,score,score_d
53600,0,0,132,8838620
53700,0,0,132,8828490
53800,0,0,132,8818370
53900,0,0,133,8874980
54000,0,0,133,8864800
54100,0,0,134,8921210
54200,0,0,134,8910970
54300,0,0,134,8900730
54400,0,0,134,8890510
54500,0,0,134,8880300
54600,0,0,134,8870090
54700,0,0,134,8859890
54800,0,0,134,8849700
54900,0,0,134,8839520
55000,0,0,134,8829350
55100,0,0,134,8819180
55200,0,0,134,8809030
55300,0,0,134,8798880
55400,0,0,134,8788740
55500,0,0,134,8778610
55600,0,0,134,8768490
55700,0,0,134,8758380
55800,0,0,134,8748280
55900,0,0,134,8738180
56000,0,0,134,8728100
56100,0,0,134,8718020
56200,0,0,134,8707960
56300,0,0,134,8697900
56400,0,0,134,8687850
56500,0,0,135,8742570
56600,0,0,135,8732460
56700,0,0,135,8722370
56800,0,0,136,8776810
56900,0,0,136,8766660
57000,0,0,136,8756520
57100,0,0,136,8746380
57200,0,0,136,8736260
57300,0,0,136,8726140
57400,0,0,136,8716040
57500,0,0,136,8705940
57600,0,0,136,8695850
57700,0,0,136,8685780
57800,0,0,136,8675710
57900,0,0,136,8665650
58000,0,0,136,8655600
58100,0,0,136,8645570
58200,0,0,136,8635540
58300,0,0,136,8625520
58400,0,0,136,8615510
58500,0,0,136,8605510
58600,0,0,136,8595520
58700,0,0,137,8648670
58800,0,0,138,8701680
58900,0,0,138,8691580
59000,0,0,138,8681480
59100,0,0,138,8671390
59200,0,0,138,8661320
59300,0,0,138,8651250
59400,0,0,138,8641200
59500,0,0,138,8631150
59600,0,0,138,8621120
59700,0,0,139,8673500
59800,0,0,139,8663410
59900,0,0,140,8715590
60000,0,0,141,8767630
60100,0,0,141,8757440
60200,0,0,141,8747250
60300,0,0,141,8737070
60400,0,0,141,8726910
60500,0,0,141,8716750
60600,0,0,141,8706610
60700,0,0,141,8696470
60800,0,0,141,8686350
60900,0,0,142,8737770
61000,0,0,142,8727600
61100,0,0,142,8717440
61200,0,0,142,8707290
61300,0,0,143,8758410
61400,0,0,143,8748210
61500,0,0,143,8738020
61600,0,0,144,8788880
61700,0,0,144,8778650
61800,0,0,145,8829320
61900,0,0,145,8819040
62000,0,0,147,8930270
62100,0,0,147,8919870
62200,0,0,147,8909480
62300,0,0,147,8899110
62400,0,0,147,8888740
62500,0,0,147,8878390
62600,0,0,148,8928380
62700,0,0,148,8917990
62800,0,0,148,8907600
62900,0,0,149,8957350
63000,0,0,149,8946920
63100,0,0,149,8936510
63200,0,0,149,8926100
63300,0,0,149,8915710
63400,0,0,149,8905340
63500,0,0,149,8894970
63600,0,0,149,8884620
63700,0,0,149,8874280
63800,0,0,149,8863960
63900,0,0,149,8853640
64000,0,0,149,8843340
64100,0,0,149,8833060
64200,0,0,149,8822780
64300,0,0,149,8812520
64400,0,0,150,8861350
64500,0,0,150,8851050
64600,0,0,150,8840760
64700,0,0,150,8830490
64800,0,0,150,8820230
64900,0,0,150,8809980
65000,0,0,150,8799740
65100,0,0,150,8789520
65200,0,0,150,8779320
65300,0,0,150,8769120
65400,0,0,150,8758940
65500,0,0,150,8748780
65600,0,0,150,8738630
65700,0,0,150,8728490
65800,0,0,150,8718360
65900,0,0,150,8708260
66000,0,0,150,8698160
66100,0,0,152,8803920
66200,0,0,152,8793720
66300,0,0,152,8783530
66400,0,0,153,8831080
66500,0,0,153,8820850
66600,0,0,153,8810640
66700,0,0,153,8800450
66800,0,0,153,8790270
66900,0,0,153,8780100
67000,0,0,153,8769950
67100,0,0,154,8817070
67200,0,0,154,8806880
67300,0,0,154,8796710
67400,0,0,155,8843610
67500,0,0,156,8890390
67600,0,0,156,8880140
67700,0,0,156,8869900
67800,0,0,156,8859670
67900,0,0,156,8849460
68000,0,0,156,8839260
68100,0,0,156,8829090
68200,0,0,156,8818920
68300,0,0,156,8808780
68400,0,0,156,8798640
68500,0,0,156,8788530
68600,0,0,156,8778430
68700,0,0,156,8768350
68800,0,0,156,8758280
68900,0,0,157,8804310
69000,0,0,157,8794210
69100,0,0,157,8784130
69200,0,0,157,8774060
69300,0,0,157,8764010
69400,0,0,157,8753980
69500,0,0,157,8743970
69600,0,0,157,8733970
69700,0,0,158,8779550
69800,0,0,158,8769520
69900,0,0,158,8759510
70000,0,0,158,8749520
70100,0,0,158,8739540
70200,0,0,158,8729580
70300,0,0,158,8719630
70400,0,0,158,8709710
70500,0,0,158,8699800
70600,0,0,159,8744910
70700,0,0,159,8734970
70800,0,0,160,8779930
70900,0,0,160,8769970
71000,0,0,160,8760020
71100,0,0,160,8750090
71200,0,0,160,8740190
71300,0,0,160,8730290
71400,0,0,160,8720420
71500,0,0,160,8710570
71600,0,0,160,8700730
71700,0,0,160,8690910
71800,0,0,160,8681110
71900,0,0,160,8671330
72000,0,0,160,8661570
72100,0,0,160,8651820
72200,0,0,160,8642100
72300,0,0,160,8632390
72400,0,0,160,8622700
72500,0,0,160,8613040
72600,0,0,161,8657160
72700,0,0,161,8647460
72800,0,0,161,8637790
72900,0,0,161,8628140
73000,0,0,161,8618500
73100,0,0,161,8608890
73200,0,0,161,8599290
73300,0,0,161,8589720
73400,0,0,161,8580160
73500,0,0,162,8623860
73600,0,0,162,8614280
73700,0,0,162,8604730
73800,0,0,162,8595190
73900,0,0,163,8638670
74000,0,0,164,8682060
74100,0,0,164,8672460
74200,0,0,164,8662890
74300,0,0,164,8653340
74400,0,0,164,8643810
74500,0,0,164,8634300
74600,0,0,164,8624810
74700,0,0,164,8615340
74800,0,0,164,8605890
74900,0,0,164,8596460
75000,0,0,164,8587050
75100,0,0,164,8577670
75200,0,0,165,8620550
75300,0,0,167,8715520
75400,0,0,167,8706030
75500,0,0,167,8696560
75600,0,0,167,8687110
75700,0,0,167,8677680
75800,0,0,167,8668280
75900,0,0,168,8710740
76000,0,0,169,8753120
76100,0,0,169,8743670
76200,0,0,169,8734240
76300,0,0,169,8724830
76400,0,0,169,8715450
76500,0,0,169,8706090
76600,0,0,169,8696750
76700,0,0,171,8790240
76800,0,0,172,8832190
76900,0,0,173,8874050
77000,0,0,173,8864590
77100,0,0,173,8855140
77200,0,0,173,8845730
77300,0,0,173,8836330
77400,0,0,173,8826960
77500,0,0,173,8817620
77600,0,0,173,8808290
77700,0,0,173,8799000
77800,0,0,173,8789720
77900,0,0,173,8780470
78100,0,0,160,8103630
78200,0,0,161,8145740
78300,0,0,161,8137220
78400,0,0,161,8128730
78500,0,0,161,8120260
78600,0,0,161,8111810
78700,0,0,161,8103380
78800,0,0,161,8094980
78900,0,0,161,8086600
79100,0,0,161,8069920
79200,0,0,161,8061610
79300,0,0,161,8053330
