x,y,z,score,score_d
69200,0,0,323,18051100
69300,0,0,323,18030400
69400,0,0,323,18009800
69500,0,0,323,17989200
69600,0,0,323,17968600
69700,0,0,323,17948100
69800,0,0,322,17872100
69900,0,0,322,17851700
70000,0,0,322,17831300
70100,0,0,322,17811000
70200,0,0,322,17790700
70300,0,0,322,17770400
70400,0,0,322,17750200
70500,0,0,322,17730000
70600,0,0,322,17709800
70700,0,0,321,17634800
70800,0,0,321,17614700
70900,0,0,320,17539900
71000,0,0,320,17520000
71100,0,0,320,17500200
71200,0,0,320,17480400
71300,0,0,320,17460600
71400,0,0,320,17440800
71500,0,0,320,17421100
71600,0,0,320,17401500
71700,0,0,320,17381800
71800,0,0,320,17362200
71900,0,0,320,17342700
72000,0,0,320,17323100
72100,0,0,320,17303600
72200,0,0,320,17284200
72300,0,0,320,17264800
72400,0,0,320,17245400
72500,0,0,320,17226100
72600,0,0,320,17206800
72700,0,0,319,17133800
72800,0,0,319,17114600
72900,0,0,319,17095500
73000,0,0,319,17076400
73100,0,0,319,17057400
73200,0,0,319,17038400
73300,0,0,319,17019400
73400,0,0,319,17000400
73500,0,0,319,16981600
73600,0,0,318,16909500
73700,0,0,318,16890800
73800,0,0,318,16872000
73900,0,0,318,16853400
74000,0,0,317,16781800
74100,0,0,316,16710400
74200,0,0,316,16691900
74300,0,0,316,16673500
74400,0,0,316,16655100
74500,0,0,316,16636800
74600,0,0,316,16618500
74700,0,0,316,16600300
74800,0,0,316,16582100
74900,0,0,316,16563900
75000,0,0,316,16545800
75100,0,0,316,16527700
75200,0,0,316,16509700
75300,0,0,315,16439500
75400,0,0,313,16317300
75500,0,0,313,16299500
75600,0,0,313,16281800
75700,0,0,313,16264200
75800,0,0,313,16246500
75900,0,0,313,16228900
76000,0,0,312,16159600
76100,0,0,311,16090400
76200,0,0,311,16073100
76300,0,0,311,16055800
76400,0,0,311,16038500
76500,0,0,311,16021300
76600,0,0,311,16004100
76700,0,0,311,15986900
76800,0,0,309,15867100
76900,0,0,308,15798900
77000,0,0,307,15730800
77100,0,0,307,15714000
77200,0,0,307,15697300
77300,0,0,307,15680700
77400,0,0,307,15664000
77500,0,0,307,15647400
77600,0,0,307,15630900
77700,0,0,307,15614400
77800,0,0,307,15597900
77900,0,0,307,15581500
78100,0,0,309,15650100
78200,0,0,309,15633700
78300,0,0,309,15617400
78400,0,0,309,15601100
78500,0,0,309,15584800
78600,0,0,309,15568600
78700,0,0,309,15552500
78800,0,0,309,15536300
78900,0,0,309,15520300
79100,0,0,309,15488200
79200,0,0,309,15472300
79300,0,0,309,15456400
79400,0,0,309,15440500
79500,0,0,309,15424700
79600,0,0,309,15409000
79700,0,0,309,15393200
79800,0,0,309,15377600
79900,0,0,309,15362000
80100,0,0,316,15678100
80200,0,0,316,15662300
80300,0,0,316,15646500
80400,0,0,316,15630800
80500,0,0,316,15615100
80600,0,0,316,15599400
80700,0,0,316,15583900
80800,0,0,316,15568300
80900,0,0,316,15552800
80050.3,86.4322,0,0,0
80100.5,172.864,0,0,0
80150.8,259.297,0,0,0
80201,345.729,0,0,0
80251.3,432.161,0,0,0
80301.5,518.593,0,0,0
80351.8,605.025,0,0,0
80402,691.458,0,0,0
80452.3,777.89,0,0,0
80502.5,864.322,0,0,0
80552.8,950.754,0,0,0
80603,1037.19,0,0,0
80653.3,1123.62,0,0,0
80703.5,1210.05,0,0,0
80753.8,1296.48,0,0,0
80804,1382.92,0,0,0
80854.3,1469.35,0,0,0
80904.5,1555.78,0,0,0
80954.8,1642.21,0,0,0
81005,1728.64,0,0,0
81055.3,1815.08,0,0,0
81105.5,1901.51,0,0,0
81155.8,1987.94,0,0,0
81206,2074.37,0,0,0
81256.3,2160.8,0,0,0
81306.5,2247.24,0,0,0
81356.8,2333.67,0,0,0
81407,2420.1,0,0,0
81457.3,2506.53,0,0,0
81507.5,2592.97,0,0,0
81557.8,2679.4,0,0,0
81608,2765.83,0,0,0
81658.3,2852.26,0,0,0
81708.6,2938.69,0,0,0
81758.8,3025.13,0,0,0
