SN:,x,y,z,z_dummy,score,score_d
SN:,80653.3,1123.62,0,0,0,0
SN:,80703.5,1210.05,0,0,0,0
SN:,80753.8,1296.48,0,0,0,0
SN:,80804,1382.92,0,0,0,0
SN:,80854.3,1469.35,0,0,0,0
SN:,80904.5,1555.78,0,0,0,0
SN:,80954.8,1642.21,0,0,0,0
SN:,81005,1728.64,0,0,0,0
SN:,81055.3,1815.08,0,0,0,0
SN:,81105.5,1901.51,0,0,0,0
SN:,81155.8,1987.94,0,0,0,0
SN:,81206,2074.37,0,0,0,0
SN:,81256.3,2160.8,0,0,0,0
SN:,81306.5,2247.24,0,0,0,0
SN:,81356.8,2333.67,0,0,0,0
SN:,81407,2420.1,0,0,0,0
SN:,81457.3,2506.53,0,0,0,0
SN:,81507.5,2592.97,0,0,0,0
SN:,81557.8,2679.4,0,0,0,0
SN:,81608,2765.83,0,0,0,0
SN:,81658.3,2852.26,0,0,0,0
SN:,81708.6,2938.69,0,0,0,0
SN:,81758.8,3025.13,0,0,0,0
SN:,81809.1,3111.56,0,0,0,0
SN:,81859.3,3197.99,0,0,0,0
SN:,81909.6,3284.42,0,0,0,0
SN:,81959.8,3370.86,0,0,0,0
SN:,82010.1,3457.29,0,0,0,0
SN:,82060.3,3543.72,0,0,0,0
SN:,82110.6,3630.15,0,0,0,0
SN:,82160.8,3716.58,0,0,0,0
SN:,82211.1,3803.02,0,0,0,0
SN:,82261.3,3889.45,0,0,0,0
SN:,82311.6,3975.88,0,0,0,0
SN:,82361.8,4062.31,0,0,0,0
SN:,82412.1,4148.75,0,0,0,0
SN:,82462.3,4235.18,0,0,0,0
SN:,82512.6,4321.61,0,0,0,0
SN:,82562.8,4408.04,0,0,0,0
SN:,82613.1,4494.47,0,0,0,0
SN:,82663.3,4580.91,0,0,0,0
SN:,82713.6,4667.34,0,0,0,0
SN:,82763.8,4753.77,0,0,0,0
SN:,82814.1,4840.2,0,0,0,0
SN:,82864.3,4926.64,0,0,0,0
SN:,82914.6,5013.07,0,0,0,0
SN:,82964.8,5099.5,0,0,0,0
SN:,83015.1,5185.93,0,0,0,0
SN:,83065.3,5272.36,0,0,0,0
SN:,83115.6,5358.8,0,0,0,0
SN:,83165.8,5445.23,0,0,0,0
SN:,83216.1,5531.66,0,0,0,0
SN:,83266.3,5618.09,0,0,0,0
SN:,83316.6,5704.52,0,0,0,0
SN:,83366.9,5790.96,0,0,0,0
SN:,83417.1,5877.39,0,0,0,0
SN:,83467.4,5963.82,0,0,0,0
SN:,83517.6,6050.25,0,0,0,0
SN:,83567.9,6136.69,0,0,0,0
SN:,83618.1,6223.12,0,0,0,0
SN:,83668.4,6309.55,0,0,0,0
SN:,83718.6,6395.98,0,0,0,0
SN:,83768.9,6482.41,0,0,0,0
SN:,83819.1,6568.85,0,0,0,0
SN:,83869.4,6655.28,0,0,0,0
SN:,83919.6,6741.71,0,0,0,0
SN:,83969.9,6828.14,0,0,0,0
SN:,84020.1,6914.58,0,0,0,0
SN:,84070.4,7001.01,0,0,0,0
SN:,84120.6,7087.44,0,0,0,0
SN:,84170.9,7173.87,0,0,0,0
SN:,84221.1,7260.3,0,0,0,0
SN:,84271.4,7346.74,0,0,0,0
SN:,84321.6,7433.17,0,0,0,0
SN:,84371.9,7519.6,0,0,0,0
SN:,84422.1,7606.03,0,0,0,0
SN:,84472.4,7692.47,0,0,0,0
SN:,84522.6,7778.9,0,0,0,0
SN:,84572.9,7865.33,0,0,0,0
SN:,84623.1,7951.76,0,0,0,0
SN:,84673.4,8038.19,0,0,0,0
SN:,84723.6,8124.63,0,0,0,0
SN:,84773.9,8211.06,0,0,0,0
SN:,84824.1,8297.49,0,0,0,0
SN:,84874.4,8383.92,0,0,0,0
SN:,84924.6,8470.35,0,0,0,0
SN:,84974.9,8556.79,0,0,0,0
SN:,85025.2,8643.22,0,0,0,0
SN:,85075.4,8729.65,0,0,0,0
SN:,85125.7,8816.08,0,0,0,0
SN:,85175.9,8902.52,0,0,0,0
SN:,85226.2,8988.95,0,0,0,0
SN:,85276.4,9075.38,0,0,0,0
SN:,85326.7,9161.81,0,0,0,0
SN:,85376.9,9248.24,0,0,0,0
SN:,85427.2,9334.68,0,0,0,0
SN:,85477.4,9421.11,0,0,0,0
SN:,85527.7,9507.54,0,0,0,0
